timestamp,domain,epoch_id,operation,duration_ms,num_fragments
1780502261,domain020.test,900,decrypt_1,4.770,3
1780502261,domain018.test,900,decrypt_1,6.868,3
1780502261,domain019.test,900,decrypt_1,7.139,3
1780502261,domain013.test,900,decrypt_1,5.873,3
1780502261,domain014.test,900,decrypt_1,7.592,3
1780502261,domain016.test,900,decrypt_1,6.186,3
1780502261,domain012.test,900,decrypt_1,5.473,3
1780502261,domain011.test,900,decrypt_1,7.168,3
1780502278,domain051.test,900,decrypt_3,5.990,10
1780502278,domain060.test,900,decrypt_4,7.011,10
1780502278,domain053.test,900,decrypt_4,7.064,10
1780502278,domain059.test,900,decrypt_4,7.074,10
1780502279,domain055.test,900,decrypt_2,3.910,10
1780502279,domain052.test,900,decrypt_2,10.469,10
1780502280,domain058.test,900,decrypt_3,6.955,10
1780502280,domain057.test,900,decrypt_3,6.512,10
1780502280,domain054.test,900,decrypt_3,4.578,10
1780502287,domain075.test,900,decrypt_6,7.705,15
1780502288,domain079.test,900,decrypt_4,5.064,15
1780502288,domain071.test,900,decrypt_4,5.733,15
1780502289,domain072.test,900,decrypt_5,4.650,15
1780502289,domain080.test,900,decrypt_5,4.418,15
1780502289,domain076.test,900,decrypt_5,4.683,15
1780502289,domain077.test,900,decrypt_6,7.649,15
1780502289,domain078.test,900,decrypt_6,4.213,15
1780502289,domain073.test,900,decrypt_6,6.402,15
1780502289,domain074.test,900,decrypt_6,6.578,15
1780502292,domain086.test,900,decrypt_8,6.088,20
1780502292,domain087.test,900,decrypt_8,5.094,20
1780502292,domain083.test,900,decrypt_8,2.505,20
1780502292,domain084.test,900,decrypt_8,7.338,20
1780502293,domain081.test,900,decrypt_6,8.097,20
1780502293,domain090.test,900,decrypt_7,2.482,20
1780502293,domain089.test,900,decrypt_7,2.419,20
1780502293,domain085.test,900,decrypt_7,4.243,20
1780502294,domain082.test,900,decrypt_7,5.163,20
1780502296,domain096.test,900,decrypt_9,5.768,30
1780502297,domain091.test,900,decrypt_10,4.596,30
1780502297,domain100.test,900,decrypt_11,6.519,30
1780502297,domain097.test,900,decrypt_11,5.974,30
1780502297,domain094.test,900,decrypt_11,3.532,30
1780502297,domain095.test,900,decrypt_11,7.016,30
1780502298,domain091.test,900,decrypt_11,6.096,30
1780502298,domain100.test,900,decrypt_12,1.684,30
1780502298,domain097.test,900,decrypt_12,1.623,30
1780502298,domain094.test,900,decrypt_12,1.530,30
1780502298,domain095.test,900,decrypt_12,2.065,30
1780502298,domain099.test,900,decrypt_9,1.710,30
1780502299,domain099.test,900,decrypt_10,1.694,30
1780502299,domain098.test,900,decrypt_10,1.663,30
1780502299,domain092.test,900,decrypt_10,1.623,30
1780502299,domain093.test,900,decrypt_10,1.701,30
1780502299,domain098.test,900,decrypt_11,1.624,30
1780502299,domain092.test,900,decrypt_11,1.828,30
1780502300,domain093.test,900,decrypt_11,1.573,30
1780502321,domain032.test,900,decrypt_1,5.534,5
1780502321,domain033.test,900,decrypt_2,3.491,5
1780502321,domain037.test,900,decrypt_2,5.923,5
1780502321,domain034.test,900,decrypt_2,4.111,5
1780502321,domain035.test,900,decrypt_2,7.567,5
1780502321,domain038.test,900,decrypt_2,5.426,5
1780502334,domain069.test,900,decrypt_4,2.060,12
1780502334,domain068.test,900,decrypt_4,6.341,12
1780502334,domain063.test,900,decrypt_4,3.626,12
1780502334,domain065.test,900,decrypt_4,3.674,12
1780502334,domain064.test,900,decrypt_4,3.860,12
1780502334,domain066.test,900,decrypt_4,2.755,12
1780502334,domain062.test,900,decrypt_4,2.063,12
1780502334,domain070.test,900,decrypt_5,6.631,12
1780502335,domain061.test,900,decrypt_5,4.647,12
1780502335,domain067.test,900,decrypt_5,4.577,12
1780502338,domain079.test,900,decrypt_5,2.293,15
1780502339,domain071.test,900,decrypt_5,5.254,15
1780502339,domain072.test,900,decrypt_6,4.689,15
1780502339,domain076.test,900,decrypt_6,4.853,15
1780502339,domain080.test,900,decrypt_6,4.821,15
1780502340,domain078.test,900,decrypt_7,6.554,15
1780502340,domain077.test,900,decrypt_7,6.714,15
1780502340,domain073.test,900,decrypt_7,7.288,15
1780502340,domain075.test,900,decrypt_7,5.719,15
1780502340,domain074.test,900,decrypt_7,3.694,15
1780502344,domain081.test,900,decrypt_7,5.859,20
1780502344,domain090.test,900,decrypt_8,6.981,20
1780502344,domain089.test,900,decrypt_8,5.874,20
1780502344,domain088.test,900,decrypt_8,4.574,20
1780502344,domain085.test,900,decrypt_8,6.542,20
1780502344,domain082.test,900,decrypt_8,8.524,20
1780502345,domain086.test,900,decrypt_9,4.609,20
1780502345,domain083.test,900,decrypt_9,5.664,20
1780502345,domain087.test,900,decrypt_9,6.648,20
1780502345,domain084.test,900,decrypt_9,6.388,20
1780502348,domain092.test,900,decrypt_12,6.969,30
1780502348,domain093.test,900,decrypt_12,6.559,30
1780502348,domain091.test,900,decrypt_12,7.475,30
1780502348,domain100.test,900,decrypt_13,5.513,30
1780502348,domain097.test,900,decrypt_13,3.051,30
1780502348,domain094.test,900,decrypt_13,4.855,30
1780502349,domain092.test,900,decrypt_13,4.631,30
1780502349,domain095.test,900,decrypt_13,4.787,30
1780502349,domain093.test,900,decrypt_13,7.476,30
1780502349,domain091.test,900,decrypt_13,7.004,30
1780502349,domain100.test,900,decrypt_14,1.845,30
1780502349,domain097.test,900,decrypt_14,1.626,30
1780502349,domain096.test,900,decrypt_10,2.040,30
1780502349,domain094.test,900,decrypt_14,1.956,30
1780502349,domain095.test,900,decrypt_14,1.910,30
1780502349,domain099.test,900,decrypt_11,1.565,30
1780502349,domain096.test,900,decrypt_11,1.548,30
1780502350,domain099.test,900,decrypt_12,1.763,30
1780502350,domain098.test,900,decrypt_12,1.639,30
1780502350,domain098.test,900,decrypt_13,1.653,30
1780502359,domain006.test,900,decrypt_1,4.528,2
1780502359,domain007.test,900,decrypt_1,7.477,2
1780502359,domain002.test,900,decrypt_1,4.966,2
1780502359,domain010.test,900,decrypt_1,4.971,2
1780502359,domain004.test,900,decrypt_1,7.369,2
1780502359,domain008.test,900,decrypt_1,2.994,2
1780502367,domain030.test,900,decrypt_2,1.868,4
1780502367,domain027.test,900,decrypt_2,1.696,4
1780502367,domain028.test,900,decrypt_2,5.284,4
1780502367,domain021.test,900,decrypt_2,7.575,4
1780502367,domain026.test,900,decrypt_2,4.180,4
1780502367,domain024.test,900,decrypt_2,7.947,4
1780502367,domain025.test,900,decrypt_2,5.979,4
1780502367,domain022.test,900,decrypt_2,5.386,4
1780502367,domain023.test,900,decrypt_2,4.780,4
1780502376,domain046.test,900,decrypt_3,8.912,6
1780502376,domain049.test,900,decrypt_3,7.739,6
1780502376,domain048.test,900,decrypt_3,8.961,6
1780502376,domain050.test,900,decrypt_3,5.906,6
1780502376,domain042.test,900,decrypt_3,4.144,6
1780502376,domain041.test,900,decrypt_3,6.238,6
1780502376,domain043.test,900,decrypt_3,6.415,6
1780502376,domain045.test,900,decrypt_3,8.201,6
1780502377,domain047.test,900,decrypt_2,4.237,6
1780502377,domain044.test,900,decrypt_2,6.504,6
1780502380,domain056.test,900,decrypt_4,5.731,10
1780502380,domain057.test,900,decrypt_4,3.283,10
1780502380,domain054.test,900,decrypt_4,9.683,10
1780502381,domain060.test,900,decrypt_5,3.480,10
1780502381,domain053.test,900,decrypt_5,17805023815,.domain059.test375,,90010,decrypt_5,6.457,10

1780502382,domain052.test,900,decrypt_3,3.658,10
1780502382,domain058.test,900,decrypt_4,5.987,10
1780502382,domain051.test,900,decrypt_4,9.244,10
1780502385,domain066.test,900,decrypt_5,10.321,12
1780502385,domain062.test,900,decrypt_5,6.085,12
1780502385,domain061.test,900,decrypt_6,8.404,12
1780502385,domain067.test,900,decrypt_6,7.579,12
1780502387,domain068.test,900,decrypt_5,7.214,12
1780502387,domain069.test,900,decrypt_5,5.795,12
1780502387,domain063.test,900,decrypt_5,4.349,12
1780502387,domain065.test,900,decrypt_5,3.877,12
1780502387,domain070.test,900,decrypt_6,3.825,12
1780502389,domain071.test,900,decrypt_6,7.961,15
1780502390,domain076.test,900,decrypt_7,6.247,15
1780502390,domain080.test,900,decrypt_7,9.017,15
1780502390,domain078.test,900,decrypt_8,4.448,15
1780502390,domain073.test,900,decrypt_8,7.415,15
1780502390,domain077.test,900,decrypt_8,7.390,15
1780502390,domain075.test,900,decrypt_8,3.468,15
1780502390,domain074.test,900,decrypt_8,3.972,15
1780502391,domain079.test,900,decrypt_6,2.874,15
1780502392,domain072.test,900,decrypt_7,4.536,15
1780502394,domain090.test,900,decrypt_9,4.551,20
1780502394,domain089.test,900,decrypt_9,4.549,20
1780502395,domain088.test,900,decrypt_9,6.614,20
1780502395,domain085.test,900,decrypt_9,6.693,20
1780502395,domain082.test,900,decrypt_9,7.849,20
1780502395,domain086.test,900,decrypt_10,11.560,20
1780502395,domain083.test,900,decrypt_10,6.785,20
1780502395,domain087.test,900,decrypt_10,5.807,20
1780502395,domain084.test,900,decrypt_10,6.735,20
1780502396,domain081.test,900,decrypt_8,7.724,20
1780502399,domain093.test,900,decrypt_14,5.385,30
1780502399,domain091.test,900,decrypt_14,3.513,30
1780502399,domain100.test,900,decrypt_15,3.073,30
1780502399,domain097.test,900,decrypt_15,6.882,30
1780502400,domain094.test,900,decrypt_15,2.204,30
1780502400,domain095.test,900,decrypt_15,7.149,30
1780502400,domain093.test,900,decrypt_15,4.804,30
